address,key1,key2,key3
eip155:1:0x797AAB1ce7c01eB727ab980762bA88e7133d2157,Cream USDT,crUSDT,
eip155:1:0xD520ddbdf81323F4B9a0Ea0AdBb692eBEf6cE280,Holdefi,HLD,
eip155:1:0x3506424F91fD33084466F402d5D97f05F8e3b4AF,Chiliz,CHZ,
eip155:1:0xd55BD2C12B30075b325Bc35aEf0B46363B3818f8,Zombie.Finance,ZOMBIE,
eip155:1:0xDb05EA0877A2622883941b939f0bb11d1ac7c400,Opacity,OPCT,
eip155:1:0xF5581dFeFD8Fb0e4aeC526bE659CFaB1f8c781dA,HOPR,HOPR,
eip155:1:0xA67b8e40111A0EDD30C3210b77aadb86AD234c43,Banana Index,BANDEX,
eip155:1:0x6C8c6b02E7b2BE14d4fA6022Dfd6d75921D90E4E,Compound Basic Attention Token,cBAT,
eip155:1:0xe1406825186D63980fd6e2eC61888f7B91C4bAe4,vBTC,vBTC,
eip155:1:0x5BC25f649fc4e26069dDF4cF4010F9f706c23831,DefiDollar,DUSD,
eip155:1:0x05f4a42e251f2d52b8ed15E9FEdAacFcEF1FAD27,Zilliqa,ZIL,
eip155:1:0x21aB6c9fAC80C59D401b37cB43F81ea9DDe7Fe34,Baer Chain,BRC,
eip155:1:0xcA75C43f8c9AfD356c585ce7AA4490B48A95C466,Inari,INARI,
eip155:1:0xb4bebD34f6DaaFd808f73De0d10235a92Fbb6c3D,Yearn Ecosystem Token Index,YETI,
eip155:1:0x2F57430a6ceDA85a67121757785877b4a71b8E6D,DefiPlaza,DFP2,
eip155:1:0x8dfc8cc3201425669FaE803e1eB125cddd4189eC,Okage Inu,OKAGE,
eip155:1:0x8798249c2E607446EfB7Ad49eC89dD1865Ff4272,xSUSHI,xSUSHI,
eip155:1:0x3623387773010d9214B10C551d6e7fc375D31F58,Cream Meta,crMTA,
eip155:1:0x17525E4f4Af59fbc29551bC4eCe6AB60Ed49CE31,PieDAO Yearn Ecosystem Pie,YPIE,
eip155:1:0x798D1bE841a82a273720CE31c822C61a67a601C3,DIGG,DIGG,
eip155:1:0x7025baB2EC90410de37F488d1298204cd4D6b29d,Xriba,XRA,
eip155:1:0xb0280743b44bF7db4B6bE482b2Ba7b75E5dA096C,Transcodium,TNS,
